date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-31,California,State,Total,235.0,100.0,392.14285714285,100.0
2021-01-31,California,State,Other,81.0,34.47,133.28571428571,33.989071038251
2021-01-31,California,State,Gamma,0.0,0.0,0.71428571428,0.182149362477
2021-01-31,California,State,Alpha,2.0,0.85,9.14285714285,2.331511839709
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-31,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-31,California,State,Epsilon,152.0,64.68,248.42857142857,63.351548269581
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-31,California,State,Beta,0.0,0.0,0.28571428571,0.072859744991
2021-02-01,California,State,Beta,0.0,0.0,0.28571428571,0.057770075101
2021-02-01,California,State,Delta,0.0,0.0,0.28571428571,0.057770075101
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Gamma,0.0,0.0,0.71428571428,0.144425187753
2021-02-01,California,State,Total,792.0,100.0,494.57142857142,100.0
2021-02-01,California,State,Other,225.0,28.41,161.14285714285,32.582322357019
2021-02-01,California,State,Alpha,10.0,1.26,10.0,2.021952628538
2021-02-01,California,State,Epsilon,557.0,70.33,322.14285714285,65.135759676488
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-02,California,State,Epsilon,997.0,75.36,416.57142857142,69.01775147929
2021-02-02,California,State,Total,1323.0,100.0,603.57142857142,100.0
2021-02-02,California,State,Other,292.0,22.07,172.14285714285,28.520710059172
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-02,California,State,Delta,0.0,0.0,0.28571428571,0.047337278107
2021-02-02,California,State,Beta,0.0,0.0,0.28571428571,0.047337278107
2021-02-02,California,State,Gamma,0.0,0.0,0.71428571428,0.118343195266
2021-02-02,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-02,California,State,Alpha,34.0,2.57,13.57142857142,2.248520710059
2021-02-03,California,State,Gamma,0.0,0.0,0.71428571428,0.107735401853
2021-02-03,California,State,Total,1111.0,100.0,663.0,100.0
2021-02-03,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-03,California,State,Delta,0.0,0.0,0.28571428571,0.043094160741
2021-02-03,California,State,Alpha,30.0,2.7,16.14285714285,2.434820081879
2021-02-03,California,State,Beta,1.0,0.09,0.42857142857,0.064641241112
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Other,241.0,21.69,174.28571428571,26.287438052144
2021-02-03,California,State,Epsilon,839.0,75.52,471.14285714285,71.062271062271
2021-02-04,California,State,Total,509.0,100.0,613.0,100.0
2021-02-04,California,State,Alpha,15.0,2.95,14.71428571428,2.400372873456
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023304591004
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023304591004
2021-02-04,California,State,Epsilon,392.0,77.01,451.57142857142,73.665812164997
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.046609182009
2021-02-04,California,State,Other,102.0,20.04,146.14285714285,23.84059659753
2021-02-04,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-05,California,State,Other,64.0,25.2,147.42857142857,23.839223839224
2021-02-05,California,State,Epsilon,167.0,65.75,454.28571428571,73.458073458073
2021-02-05,California,State,Total,254.0,100.0,618.42857142857,100.0
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.0231000231
2021-02-05,California,State,Alpha,23.0,9.06,16.57142857142,2.679602679603
2021-02-06,California,State,Epsilon,267.0,70.26,481.57142857142,73.218940052129
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Alpha,15.0,3.95,18.42857142857,2.801911381407
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-06,California,State,Total,380.0,100.0,657.71428571428,100.0
2021-02-06,California,State,Other,98.0,25.79,157.57142857142,23.957428323197
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.021720243267
2021-02-07,California,State,Other,43.0,19.46,152.14285714285,23.202614379085
2021-02-07,California,State,Epsilon,173.0,78.28,484.57142857142,73.899782135076
2021-02-07,California,State,Delta,1.0,0.45,0.14285714285,0.021786492375
2021-02-07,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.021786492375
2021-02-07,California,State,Alpha,4.0,1.81,18.71428571428,2.854030501089
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Total,221.0,100.0,655.71428571428,100.0
2021-02-08,California,State,Epsilon,372.0,74.55,458.14285714285,74.633465208285
2021-02-08,California,State,Other,109.0,21.84,135.57142857142,22.08517570398
2021-02-08,California,State,Total,499.0,100.0,613.85714285714,100.0
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Delta,0.0,0.0,0.14285714285,0.023272050268
2021-02-08,California,State,Alpha,18.0,3.61,19.85714285714,3.2348149872
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.023272050268
2021-02-08,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-09,California,State,Other,149.0,23.35,115.14285714285,22.314507198228
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Alpha,23.0,3.61,18.28571428571,3.543743078627
2021-02-09,California,State,Total,638.0,100.0,516.0,100.0
2021-02-09,California,State,Epsilon,466.0,73.04,382.28571428571,74.086378737542
